logical: 25955, physical: 7779, byte value: 88
logical: 62678, physical: 470, byte value: 61
logical: 26021, physical: 7845, byte value: 0
logical: 29409, physical: 8161, byte value: 0
logical: 38111, physical: 8415, byte value: 55
logical: 58573, physical: 15565, byte value: 0
logical: 56840, physical: 9224, byte value: 0
logical: 41306, physical: 24922, byte value: 40
logical: 54426, physical: 19354, byte value: 53
logical: 3617, physical: 10017, byte value: 0
logical: 50652, physical: 18652, byte value: 0
logical: 41452, physical: 25068, byte value: 0
logical: 20241, physical: 16657, byte value: 0
logical: 31723, physical: 12267, byte value: -6
logical: 53747, physical: 9715, byte value: 124
logical: 28550, physical: 28038, byte value: 27
logical: 23402, physical: 20586, byte value: 22
logical: 21205, physical: 1237, byte value: 0
logical: 56181, physical: 25205, byte value: 0
logical: 57470, physical: 10622, byte value: 56
logical: 39933, physical: 11005, byte value: 0
logical: 34964, physical: 26772, byte value: 0
logical: 24781, physical: 11725, byte value: 0
logical: 41747, physical: 12563, byte value: -60
logical: 62564, physical: 356, byte value: 0
logical: 58461, physical: 15453, byte value: 0
logical: 20858, physical: 12922, byte value: 20
logical: 49301, physical: 8597, byte value: 0
logical: 40572, physical: 13436, byte value: 0
logical: 23840, physical: 13600, byte value: 0
logical: 35278, physical: 14286, byte value: 34
logical: 62905, physical: 28601, byte value: 0
logical: 56650, physical: 15178, byte value: 55
logical: 11149, physical: 15757, byte value: 0
logical: 38920, physical: 3848, byte value: 0
logical: 23430, physical: 20614, byte value: 22
logical: 57592, physical: 10744, byte value: 0
logical: 3080, physical: 15880, byte value: 0
logical: 6677, physical: 6677, byte value: 0
logical: 50704, physical: 26128, byte value: 0
logical: 51883, physical: 27307, byte value: -86
logical: 62799, physical: 28495, byte value: 83
logical: 20188, physical: 9180, byte value: 0
logical: 1245, physical: 16349, byte value: 0
logical: 12220, physical: 2748, byte value: 0
logical: 17602, physical: 8898, byte value: 17
logical: 28609, physical: 28097, byte value: 0
logical: 42694, physical: 20934, byte value: 41
logical: 29826, physical: 3202, byte value: 29
logical: 13827, physical: 31235, byte value: -128
logical: 27336, physical: 28872, byte value: 0
logical: 53343, physical: 5983, byte value: 23
logical: 11533, physical: 16909, byte value: 0
logical: 41713, physical: 17905, byte value: 0
logical: 33890, physical: 18274, byte value: 33
logical: 4894, physical: 10270, byte value: 4
logical: 57599, physical: 10751, byte value: 63
logical: 3870, physical: 18974, byte value: 3
logical: 58622, physical: 15614, byte value: 57
logical: 29780, physical: 3156, byte value: 0
logical: 62553, physical: 345, byte value: 0
logical: 2303, physical: 5887, byte value: 63
logical: 51915, physical: 27339, byte value: -78
logical: 6251, physical: 9835, byte value: 26
logical: 38107, physical: 8411, byte value: 54
logical: 59325, physical: 18877, byte value: 0
logical: 61295, physical: 19567, byte value: -37
logical: 26699, physical: 19787, byte value: 18
logical: 51188, physical: 15092, byte value: 0
logical: 59519, physical: 25983, byte value: 31
logical: 7345, physical: 20145, byte value: 0
logical: 20325, physical: 16741, byte value: 0
logical: 39633, physical: 20433, byte value: 0
logical: 1562, physical: 21018, byte value: 1
logical: 7580, physical: 11932, byte value: 0
logical: 8170, physical: 2026, byte value: 7
logical: 62256, physical: 23856, byte value: 0
logical: 35823, physical: 11503, byte value: -5
logical: 27790, physical: 21390, byte value: 27
logical: 13191, physical: 21639, byte value: -31
logical: 9772, physical: 4908, byte value: 0
logical: 7477, physical: 11829, byte value: 0
logical: 44455, physical: 22183, byte value: 105
logical: 59546, physical: 26010, byte value: 58
logical: 49347, physical: 8643, byte value: 48
logical: 36539, physical: 14523, byte value: -82
logical: 12453, physical: 16549, byte value: 0
logical: 49640, physical: 13288, byte value: 0
logical: 28290, physical: 5506, byte value: 27
logical: 44817, physical: 3345, byte value: 0
logical: 8565, physical: 22901, byte value: 0
logical: 16399, physical: 11023, byte value: 3
logical: 41934, physical: 12750, byte value: 40
logical: 45457, physical: 23185, byte value: 0
logical: 33856, physical: 18240, byte value: 0
logical: 19498, physical: 22570, byte value: 19
logical: 17661, physical: 8957, byte value: 0
logical: 63829, physical: 21845, byte value: 0
logical: 42034, physical: 23346, byte value: 41
logical: 28928, physical: 23552, byte value: 0
logical: 30711, physical: 24311, byte value: -3
logical: 8800, physical: 24416, byte value: 0
logical: 52335, physical: 25455, byte value: 27
logical: 38775, physical: 25719, byte value: -35
logical: 52704, physical: 30176, byte value: 0
logical: 24380, physical: 26428, byte value: 0
logical: 19602, physical: 22674, byte value: 19
logical: 57998, physical: 27022, byte value: 56
logical: 2919, physical: 17511, byte value: -39
logical: 8362, physical: 27562, byte value: 8
logical: 17884, physical: 27868, byte value: 0
logical: 45737, physical: 28329, byte value: 0
logical: 47894, physical: 2070, byte value: 46
logical: 59667, physical: 1299, byte value: 68
logical: 10385, physical: 14737, byte value: 0
logical: 52782, physical: 22318, byte value: 51
logical: 64416, physical: 12448, byte value: 0
logical: 40946, physical: 29170, byte value: 39
logical: 16778, physical: 29322, byte value: 16
logical: 27159, physical: 28695, byte value: -123
logical: 24324, physical: 26372, byte value: 0
logical: 32450, physical: 29634, byte value: 31
logical: 9108, physical: 29844, byte value: 0
logical: 65305, physical: 30489, byte value: 0
logical: 19575, physical: 22647, byte value: 29
logical: 11117, physical: 15725, byte value: 0
logical: 65170, physical: 30866, byte value: 63
logical: 58013, physical: 27037, byte value: 0
logical: 61676, physical: 31212, byte value: 0
logical: 63510, physical: 13846, byte value: 62
logical: 17458, physical: 8754, byte value: 17
logical: 54675, physical: 31635, byte value: 100
logical: 1713, physical: 21169, byte value: 0
logical: 55105, physical: 32065, byte value: 0
